reviewRequestId,repository,reviewRequestSubmitter,reviewId,diffCommentId,replyId,replyDiffCommentId,type,username,timestamp,text,isDesign,concept
23588,samza,criccomini,47965,84211,,,DiffComment,criccomini,2014-07-17T00:12:25Z,"Note to self: might be able to eliminate this by doing first refresh in in SystemConsumers.start, rather than lazily in choose.",true,betterSolution
33620,kafka,sriharsha,93110,147361,,,DiffComment,ijuma,2015-08-17T11:26:21Z,KAFKA-2348 was merged recently and if/else for 2.9 support was removed there. It should not be restored here.,false,featureAddition
25965,mesos,idownes,54460,,,,Review.body_top,jieyu,2014-09-24T21:41:15Z,Ship It!,false,approval
70114,mesos,abudnik,213407,,,,Review.body_top,mesos-review,2019-03-04T19:59:22Z,"Patch looks great!

Reviews applied: [70108, 70109, 70114]

Passed command: export OS='ubuntu:14.04' BUILDTOOL='autotools' COMPILER='gcc' CONFIGURATION='--verbose --disable-libtool-wrappers --disable-parallel-test-execution' ENVIRONMENT='GLOG_v=1 MESOS_VERBOSE=1'; ./support/docker-build.sh",false,bot
47292,mesos,guoger,141023,,,,Review.body_top,karya,2016-07-06T16:31:30Z,Ship It!,false,approval
38535,mesos,haosdent,99705,,,,Review.body_top,mesos-review,2015-09-20T17:02:00Z,"Patch looks great!

Reviews applied: [38535]

All tests passed.",false,bot
66103,aurora,rezam,199732,280170,,,DiffComment,sshanmugham,2018-03-22T17:16:10Z,What happens if `GET` returns 5xx or 4xx? Will this crash the Observer? We should be adding more logging and fail gracefully. Particularly this can happen if someone has HTTP Auth enabled for the Mesos endpoints and deploying this has the potential to crash all the Observers.,true,bug
8559,sqoop-trunk,pgrim,28271,55263,,,DiffComment,jarcec,2013-11-11T15:29:43Z,Nit: Can we put the class name into constant?,false,naming
64104,mesos,johnkord,192730,270985,,,DiffComment,andschwa,2017-12-04T18:52:18Z,Nit: join lines.,false,formatting
1179,shindig,ddumont,1269,2902,,,DiffComment,johnfargo,2011-08-02T20:05:23Z,"FMI, can you explain the drop of ""var""? We were seeing some issues recently w/ this initialization on IE and I'm wondering if the motivation for your dropping it has to do with that, or is related somehow.

I did it mainly for consistency, and because they are globals and are treated as such everywhere else.  By convention, I've never used 'var' when assigning a global.  I'm have no problem with leaving it if it causes other problems.",true,clarification
41190,aurora,jsirois,109795,,,,Review.body_top,maxim,2015-12-10T17:39:14Z,Works for me locally. Thanks for fixing this!,false,approval
52911,oozie-git,pbacsko,152835,221971,,,DiffComment,andras.piros,2016-10-17T12:40:19Z,Rename to `assertActionOutputDataPresentAndCorrect()`.,false,naming
29009,ambari,fbarca,65254,108319,,,DiffComment,ncole,2014-12-16T23:14:24Z,"If doing this, it should be bigger.  Like 2048m",false,configuration
